step,altitude,speed,distance,ata,aspect_angle,aileron,elevator,throttle
139,6001.95,360.89,3115.07,130.732,167.502,0.15,-0.3,0.4345
140,6001.66,361.22,3100.91,131.69,166.673,0.15,0.85,0.4345
141,6001.56,361.03,3087.7,132.684,165.855,-0.3,-0.05,0.4345
142,6001.85,360.73,3075.38,133.642,165.142,0.15,-0.3,0.4345
143,6002.49,360.3,3063.83,134.598,164.893,-0.3,0.85,0.4345
144,6003.5,360.07,3052.74,135.491,165.318,0.15,0.85,0.4345
145,6004.16,360.41,3042.04,136.405,166.352,0.15,0.75,0.4345
146,6004.38,360.35,3031.66,137.28,167.481,-0.2,-0.05,0.4345
147,6004.48,360.44,3021.48,138.113,168.184,0.15,-0.3,0.4345
148,6004.3,360.98,3011.57,138.948,168.773,0.15,-0.05,0.4345
149,6004.0,360.97,3001.92,139.801,169.84,-0.2,-0.05,0.4345
150,6003.87,361.0,2992.56,140.587,171.608,0.15,-0.3,0.4345
151,6003.79,360.97,2983.63,141.35,173.408,-0.2,-0.05,0.4345
152,6003.95,361.07,2975.06,142.064,174.64,0.55,-0.6,0.5379
153,6004.18,363.01,2966.84,142.814,175.379,0.55,-0.9,0.8138
154,6004.52,364.02,2959.05,143.751,176.042,0.55,-0.9,0.5207
155,6005.23,364.61,2951.78,145.04,176.289,0.55,-0.9,0.5379
156,6006.31,364.66,2945.13,146.606,176.125,0.55,-0.9,0.4
157,6007.54,365.38,2939.23,148.601,175.804,0.15,-0.9,0.8655
158,6008.76,365.81,2934.35,150.906,175.393,0.15,-0.9,0.8655
159,6009.7,366.42,2930.57,153.144,175.073,0.15,-0.9,0.8655
160,6010.12,366.64,2927.8,155.608,174.819,-0.25,-0.9,0.8655
161,6009.78,366.46,2926.04,158.294,174.535,-0.25,-0.9,0.8655
162,6008.73,366.49,2925.24,160.852,174.301,-0.25,-0.9,0.8655
163,6007.1,366.54,2925.29,163.394,174.048,-0.25,-0.9,0.8655
164,6005.04,366.6,2926.08,165.913,173.735,-0.25,-0.9,0.8655
165,6002.76,366.68,2927.56,168.392,173.386,-0.25,-0.9,0.8655
166,6000.43,367.21,2929.57,170.534,173.246,0.15,-0.9,0.8655
167,5998.04,368.01,2931.96,172.456,173.166,0.15,-0.9,0.8655
168,5995.56,368.18,2934.54,174.638,173.051,-0.25,-0.9,0.8655
169,5993.07,367.97,2937.23,176.751,173.133,-0.25,-0.9,0.8655
170,5990.71,368.35,2940.03,177.759,173.301,0.15,-0.9,0.8655
171,5988.45,369.02,2942.92,177.138,173.333,0.15,-0.9,0.8655
172,5986.21,369.53,2945.77,175.531,173.293,0.15,-0.9,0.8655
173,5983.91,369.54,2948.51,173.383,173.276,-0.25,-0.9,0.8655
174,5981.62,369.2,2950.89,171.049,173.416,-0.25,-0.9,0.8655
175,5979.47,369.47,2952.89,169.121,173.642,0.15,-0.9,0.8655
176,5977.4,370.06,2954.54,167.358,173.715,0.15,-0.9,0.8655
177,5975.33,370.51,2955.82,165.495,173.848,0.15,-0.9,0.8655
178,5973.16,370.49,2956.71,163.338,174.043,-0.25,-0.9,0.8655
179,5970.93,370.13,2956.94,161.047,174.303,-0.25,-0.9,0.8655
180,5968.78,370.38,2956.54,159.21,174.61,0.15,-0.9,0.8655
181,5966.66,369.71,2955.55,157.603,174.804,0.15,-0.9,0.4
182,5964.46,368.66,2953.82,155.927,175.183,0.15,-0.9,0.4
183,5962.08,368.5,2951.37,153.932,175.695,-0.25,-0.9,0.8655
184,5959.55,368.12,2948.04,151.786,176.046,-0.25,-0.9,0.8655
185,5957.0,367.08,2943.76,150.123,176.146,0.15,-0.9,0.4
186,5954.39,366.22,2938.7,148.684,176.401,0.15,-0.9,0.4
187,5951.66,364.8,2932.81,146.894,176.814,-0.25,-0.9,0.4
188,5948.87,364.38,2925.81,144.924,177.082,-0.25,-0.9,0.8655
189,5946.16,363.31,2917.72,143.445,177.334,0.15,-0.9,0.4
190,5943.48,362.5,2908.77,142.181,177.524,0.15,-0.9,0.4
191,5940.77,361.58,2899.0,140.834,177.552,0.15,-0.9,0.4
192,5937.93,361.53,2888.42,139.158,177.397,-0.25,-0.9,0.8655
193,5935.01,361.25,2876.79,137.323,177.483,-0.25,-0.9,0.8655
194,5932.16,360.3,2864.2,135.986,177.196,0.15,-0.9,0.4
195,5929.32,359.54,2850.85,134.881,176.25,0.15,-0.9,0.4
196,5926.43,358.66,2836.77,133.699,175.521,0.15,-0.9,0.4
197,5923.4,358.67,2821.92,132.188,174.997,-0.25,-0.9,0.8655
198,5920.27,358.43,2806.06,130.51,174.272,-0.25,-0.9,0.8655
199,5917.23,358.41,2789.17,129.045,173.509,-0.25,-0.9,0.8655
200,5914.44,358.89,2771.5,127.994,172.688,0.15,-0.9,0.8655
201,5911.84,359.67,2753.41,127.138,171.647,0.15,-0.9,0.8655
202,5909.41,359.8,2734.76,125.911,170.476,-0.25,-0.9,0.8655
203,5907.34,359.54,2715.24,124.566,169.552,-0.25,-0.9,0.8655
204,5905.83,358.95,2694.86,123.259,168.909,-0.65,-0.8,0.8655
205,5905.37,357.99,2673.58,122.235,168.524,-0.65,-0.8,0.8655
206,5906.22,357.77,2651.9,122.085,168.337,0.15,-0.8,0.8655
207,5908.12,358.39,2630.39,122.355,168.301,0.15,-0.8,0.8483
208,5910.82,358.99,2609.21,122.617,168.387,0.15,-0.8,0.8483
209,5914.5,358.87,2588.24,122.634,168.574,-0.3,-0.8,0.8655
210,5919.56,358.16,2567.3,122.68,168.853,-0.3,-0.8,0.8655
211,5926.07,356.95,2546.53,123.067,169.227,-0.3,-0.9,0.6414
212,5934.0,356.19,2526.14,123.786,169.7,-0.3,0.6,0.8483
213,5942.86,355.32,2506.37,124.773,170.273,-0.05,0.8,0.4
214,5951.87,354.66,2487.29,125.78,170.937,-0.05,0.8,0.4
215,5960.72,354.52,2468.89,126.707,171.68,0.15,0.8,0.4
216,5969.1,354.47,2451.06,127.6,172.801,0.15,0.8,0.4
217,5976.93,354.42,2433.75,128.464,174.4,0.15,0.8,0.4
218,5984.11,354.37,2417.04,129.295,175.506,0.15,0.8,0.4
219,5990.54,354.32,2400.99,130.103,175.176,0.15,0.8,0.4
220,5996.14,354.31,2385.63,130.907,174.012,0.15,0.8,0.4
221,6000.87,354.33,2370.91,131.729,172.993,0.15,0.8,0.4
222,6004.65,354.4,2356.8,132.583,172.268,0.15,0.8,0.4
223,6007.55,354.11,2343.23,133.455,172.136,-0.05,0.8,0.4
224,6009.56,354.22,2330.13,134.337,172.378,0.15,0.75,0.4
225,6010.35,355.04,2317.56,135.258,172.452,0.55,0.75,0.4
226,6009.72,356.0,2305.62,136.27,172.391,-0.2,0.45,0.4517
227,6007.96,356.99,2294.34,137.239,172.159,0.15,-0.8,0.5379
228,6005.45,357.5,2283.6,138.075,171.801,0.15,-0.9,0.4
229,6003.16,357.24,2273.16,138.745,171.036,-0.3,-0.9,0.4172
230,6001.89,356.13,2262.99,139.518,170.3,-0.3,-0.45,0.4172
231,6001.4,355.98,2253.27,140.451,170.046,0.15,0.8,0.4
232,6001.0,356.47,2244.17,141.334,169.877,0.15,0.8,0.4
233,6000.45,356.93,2235.66,142.209,169.872,0.15,0.8,0.4
234,5999.58,357.59,2227.78,143.075,169.66,0.15,0.8,0.4517
235,5998.26,358.21,2220.6,143.926,168.921,0.15,-0.45,0.4517
236,5996.72,358.67,2214.11,144.683,167.94,0.15,-0.8,0.4172
237,5995.47,358.35,2208.1,145.279,166.976,-0.3,-0.45,0.4172
238,5994.96,357.58,2202.42,145.958,166.334,-0.3,-0.45,0.4172
239,5995.14,357.29,2197.15,146.785,165.852,0.15,0.75,0.4
240,5995.64,357.28,2192.39,147.624,165.43,0.15,0.8,0.4
241,5996.13,357.42,2188.09,148.483,165.257,0.15,0.8,0.4
242,5996.49,357.32,2184.12,149.334,165.203,-0.3,0.9,0.4517
243,5996.78,357.12,2180.41,150.246,164.702,0.15,-0.3,0.4172
244,5996.7,357.45,2177.11,151.155,163.792,0.15,0.8,0.4
245,5996.54,357.32,2174.21,152.003,162.581,-0.3,-0.45,0.4517
246,5996.79,357.05,2171.68,152.885,161.128,0.15,-0.3,0.4
247,5997.19,357.16,2169.75,153.802,159.937,0.15,0.8,0.4
248,5997.57,356.98,2168.37,154.717,159.513,-0.3,0.9,0.4517
249,5997.95,356.81,2167.29,155.678,159.772,0.15,0.75,0.4
250,5997.83,357.16,2166.5,156.634,160.209,0.15,0.8,0.4
251,5997.14,356.86,2165.95,157.53,160.826,-0.2,-0.45,0.4517
252,5996.34,356.76,2165.51,158.355,161.511,0.15,-0.9,0.4
253,5995.67,356.84,2165.13,159.085,162.53,0.15,-0.45,0.4
254,5995.38,356.38,2164.61,159.729,163.816,-0.3,0.9,0.4517
255,5995.46,355.73,2163.9,160.454,165.074,-0.3,-0.3,0.4172
256,5995.59,355.63,2163.1,161.18,166.355,0.15,0.8,0.4
257,5995.41,356.41,2162.41,161.808,167.686,0.55,0.8,0.4
258,5994.48,357.42,2161.91,162.39,169.07,0.15,0.8,0.4
259,5992.94,357.16,2161.44,162.9,170.522,-0.7,-0.75,0.4517
260,5991.37,357.13,2160.82,163.343,171.962,0.15,-0.8,0.4172
261,5990.24,356.7,2160.09,163.694,173.073,-0.1,-0.45,0.4172
262,5990.09,355.52,2159.1,164.018,174.069,-0.3,-0.45,0.4172
263,5990.74,355.17,2157.93,164.435,175.484,0.15,0.75,0.4
264,5991.47,355.5,2156.8,164.807,176.807,0.15,0.8,0.4
265,5992.01,355.94,2155.81,165.157,176.92,0.15,0.8,0.4517
266,5992.3,355.95,2155.02,165.454,175.916,-0.35,-0.05,0.4517
267,5992.65,355.94,2154.43,165.758,175.021,0.15,-0.3,0.4172
268,5992.89,356.3,2153.98,166.048,174.804,0.15,-0.35,0.4
269,5993.19,356.11,2153.57,166.289,175.172,-0.3,-0.05,0.4517
270,5993.86,355.8,2153.08,166.555,175.585,0.15,-0.3,0.4172
271,5994.69,355.84,2152.56,166.823,176.038,0.15,0.8,0.4
272,5995.54,355.61,2152.01,167.094,176.452,-0.3,0.9,0.4517
273,5996.39,355.49,2151.42,167.44,176.688,0.15,0.75,0.4345
274,5996.76,355.79,2150.88,167.817,176.596,0.15,0.8,0.4
